tweet_id,tweet,label
760402871867367424,"Настало время для ингаляторов. Дружок, Сальбутамол, где ты?",0
1035908416869462016,"15) На прошлой зимней олимпиаде большинство лыжников приехало со справкой о том что у них якобы астма. Сделано это было для того, чтобы легально принимать сальбутамол (то же что и я принимаю в ингаляторах) который расширяет объём легких. По сути допинг для здорового человека.",1
1089839736427032577,"Не соглашусь с заменой ЗОК на метопролол в таком виде. Первый в форме сукцината держит концентрацию в плазме сутки. Второй за два приёма - 2 пика. Внимание, вопрос. А оно надо?))",0
779671488748224513,"@di2m1 мезим Смекта Если отравление, то лоперамид",0
738309299756240897,Уберите микроволновки и имодиум  Действуют соулмэйты,0
1202310351943032834,@luvkismau это видео было снято во время приема оланзапина?,0
933680693380571136,"Кроме того, есть выстраданные стандарты определения эффективности и безопасности лекарств (да-да, после того самого талидомида), которые еще не один гомеопатические препарат не прошел.",0
738771297228951552,теперь я отчаянно пытаюсь найти тату с молекулой флуоксетина,0
688135039578550272,"Все эти слюнтяи, утверждающие, будто суицид-удел слабых людей, найдут тысячу причин не глотать горсть прозака.Им просто не хватает смелости.",0
966241801706319878,"Это вам не лыжи,сальбутамол не поможет. Россия - Норвегия 5:1",0
1007633833922056192,"Ципрофлоксацин 0,5г 2 р/д как смысл жизни",0
764157235127803908,"Очень скоро у меня закончатся все остатки сероквеля и то, что я выменивала на другие лекарства. Опять просить у папы снять 15к на аптеку((((",0
882656373309362181,Пашка Техник-любовь с первого ксанакса,0
954750792900272128,Это жи прозак жи =)),0
1010145105192222720,"@KissMyBlacklist а не лечатся ли их футболисты от астмы, синдрома дефицита внимания и т.п. столь любимыми у нероссийских спортсменов ""законными"" амфетамином и декстроамфетамином?  а?🤨",0
1073171045056679936,"Есть вентолин. Он немного слабее. Но если выписали, то лучше купить беродуал.",0
851993151061598208,"Убойный коктейль из мелатонина, ламотриджина и аминофенилмасляной кислоты на ночь превратил моё пробуждение в неподъёмную цель",0
735850626614169600,Форадил Комби. Кому нужен ? Целые 2 упаковки,0
965614047847698432,"@Vremya_Pokazhet  Я бы порекомендовал всем сотрудникам wada выпить мельдония, вдохнуть сальбутамола и попробовать приблизиться к результату любого медалиста! #wada #вада #крушельницкий #Пхенчхан2018",0
975275534266466304,"Если оланзапин мне не поможет, тогда мне назначат галоперидол. Не хочу докатываться до галоперидола. Надо что-то делать с этой проклятой тревожностью.",0
905675633203740672,Ветеринар прописал ингаляции Фликсотидом 125 мгк 2 раза в сутки и еще прописал Вентолин 100 мгк на случай приступов.,0
994882887316058112,"Потому что они сами этими лекарствами пользуются и если та же американская Хумира в среднем стоит 60 тыщ, то наш аналог, пусть они себе в анал запихнут)) По возможности передайте им))",0
1018796487378198529,"путать фуросемид и флуоксетин так забавно -флуоксетин пожалуйста -у вас есть рецепт? -*стоит с лицом лица вспоминая когда это на мочегонные появился рецепт* *блять* - фуросемид, пожалуйста.",0
1033728517937221632,венлафаксин теперь вместо золофта пойду погуглю что там за побочки такие интересные,0
1037315634860883970,"У кого есть алпразолам, в лс пожалуйста",0
1199642365356650496,"@northgender Питер 👌 Мем ещё в том, что тот же сероквель пару недель ждали, а потом выяснилось, что его нет нигде, и по заказу просто не позвонили :) Вот ща опять ждём квентиапин Уже раз четвёртый  + дохера аптек обшарили",0
800590961608916992,"Крч,Sopranos - это такой сериал, где все крутится вокруг Прозака и тех, кому его назначают.",0
1049697733823606786,"мне одновременно с оланзапином назначали анаприлин и ещё кучу какой-то дополнительной фармы, тк нейролептики всё же нагружают сердце.",0
847691517120491520,"Я переходу дорогу в шарагу, и тут, в голове у меня появляется мысль, что пора бы объебаться флуоксетином",0
1066063916034387968,"Поняла, что никакие отхода от веществ не сравнятся с синдромом отмены пароксетина",1
716325452453908482,Флуоксетина еще две пачки гдето валяется,0
1020748209080217601,"ааааааа бэйби к твоим ногам я сыпала таблетки ксанакса, прости.",0
1026144372801318912,"@stevep307 Без них чаще с давлением маялся, тохикардией, мигренями. Сейчас почти не бывает. Престариум пью и беталок :) Как дед",0
1144613270982184961,"Ну что могу сказать девочки Самое время заменять Мальборо айкосом, а спиды - ксанаксом",0
1125837612432928768,о у меня тоже ламотриджин но тебе придётся недель шесть ждать пока он расчехлится,0
1127418070463598592,Может и совпадение но после нескольких рах использования этого предмета получил хр бронхит . Курил сальбутамол .,1
836543103687344130,"ну типа ""нация Прозака"", конечно привозят.",0
962757500213846018,"Кулстори про самолечение: чисто по фану перестала пить паксил, а теперь опять тону и удивляюсь, почему это я опять тону. Ну такое",0
1063754507174191106,"Я набираю аптека.ру и там смотрю цены на лекарства и часто заказываю. В аптеках всегда пытаются втюхать самое дорогое лекарство. Метформин например разброс от 95 до 400р за 60тб-500ед. шприц 3мл от 3 до 25руб, а посмотрите аспирин :)",0
1046035932154130433,"Вердикт суда: на закупке ""Тамифлю"" Тимошенко ""наварила"" 19 миллионов долларов",0
975781949464756226,"Инфантильная амнезия забирает у нас, возможно, самые яркие воспоминания. Схоже на память действует прозак.",0
1124655033306501122,"я: посоветуйте витаминки друзья: ксанакс, экстази, мдма батя: ревит сорок рублей вот такая тема 👍🏼👍🏼",0
1077422073008525317,"Что плохого , что @poroshenko производит конфеты и торты? Неплохие, кстати и недорогие. Юля умеет производить лапшу на уши недалёкого лехтората и воровать бюджетные, не ей заработанные деньги. Тамифлю и тд. Зарабатывать vs воровать - неужели не видно разницы?",0
654542359246585856,"@anatoliisharii только параше в отличии от Путина пришлось опрокинуть соточку для храбрости, и лоперамида от адреналина",0
1041620495391698945,@slowly_pig Флуоксетин Ну хз у меня не такая тяжёлая форма чтобы пить что-то сильнее этого,0
813645746079727617,"У меня в кармане пакетик оксикодона, и я не знаю - принять его или нет. Я отлично справляюсь со смертью Дерека. (с)",0
685423139073998849,"@shizoWizard это все тот же велафакс, я по любому буду валяться пару часов без понимания реальности",1
707228174573281280,"@Pia_Tivisik Остается довольствоваться ""Растишкой"" , ""Сеалексом"" и рыбными пельменями от ""Семи морей""((( Боюсь что и они отвернутся!",0
930456443098140672,14 ноября - Всемирный день борьбы с диабетом. Уралмаш опять отличился. В поликлинике нет метформина (лекарства для диабетиков),0
829289370607841280,Амурчанки продавали запрещенные препараты для похудения: Сибутрамин женщины заказали по почте,0
1021701892412518401,Надо было купить прозак и витамины,0
1142913979611779078,"ещё есть страттера (атомоксетин). его в странах, где от СДВГ прописывают риталин или аддерал (запрещены в России как наркотики), назначают в случаях, если ничего другое нельзя из-за побочек, или как супер лёгкую альтернативу.",0
1102204931740782592,Но в моем сердце дырка мне нужен ссаный ксанакс,0
931228639974383616,Ща бы 6 таблеток ксанакса алкашкой запить ПРОСТО ТАК,0
1067471008704225280,Надеюсь я смогу окунуться в сон нормально и кветиапин справится со своими обязанностями,0
726486651397111809,"Хуже всего когда начинаешь что-то придумывать, вместо осознания реальности. Как бы и мне не упасть на Кветирон, как вот друг один.",0
1195296063151919104,"@dojdizmujikov Оу, антидепрессанты? Я просто увидел флуоксетин, который мне попался в задаче по фарме на антидепрессанты 😂😂😂😂",0
1063273715159494656,"В 29 лет нетривиальной задачей становится собрать аптечку в поездку по городам. Пока что ограничился следующим:   Миг 400 Септолете тотал Назол Микролакс Гилан Прозак Имован Атаракс Феназепам Драмина Спирт Пластыри   Антигистаминные брать не стал, всё таки зима. Что забыл?",0
1155940588769820675,"Я сегодня слышала от мам чего хотят мужчины из порно стоящие или проезжающие рядом: «этот хочет чтоб обсасывала сперму, а тот нет прикинь» мне кажется надо по две пить прозака, последний раз я слышала чужим голосом потому что своим голосом такое слушать страшно",0
813341106616365056,"Дорогой Ламиктал, давай ты не будешь устраивать мне тошнючку спасибо пожалуйста ты уже заебал",0
1146631600010092544,"Огосподи, ну если «не есть», то результат будет без метформина. А вообще погуглите «инсулинорезистентность» и как с ней бороться. Это будет получше, чем жрать невыписанные врачом таблетки. Метформин кстати снижает витамины В в организме, о чем мало кто знает.",1
993118521902104576,Планы на лето: построить пирамиду из ксанакса и воскресить Лил Пипа,0
770234314122522624,"Имодиум не зассали и в рекламе говорят, что помогают при поносе, а не при «расстройстве кишечного тракта»",0
1084852307727208453,"Выхожу на работу только ради того, чтоб заработать деньги на флуоксетин.",0
934504043191394304,у меня валяются остатки флуоксетина. нужна улитка *^*,0
1003040391237636096,прозак или флуоксетин в простанародье называется) дешево и сердито. постоянно состояние счастливой свиньи,0
1145163948460859394,"все еще жду пока кто-нибудь просто подойдет и скажет: ""ксанакс по акции не желаете купить""",0
880422568485822464,@undtali 4/8 уахаах а ещё фарм называетсяНа лоперамид нажалось при простуде хотя нажала на диареюБоль,0
1066119197334388736,"девочки под фенепамом, мальчики под ксанаксом",0
1148679597594152961,у меня все под контролем. я сегодня даже ксанакс не пил.,0
718497072991887361,Каждый день по 2-3 нервных срыва Афобазол с флуоксетином по мне плачут,0
793563564665634817,рексетин и прогулки хотя бы часовые ежедневно - мне помогло,0
1195952834245746689,@alcoholvlvize @missSamoironiya Обычно в этих пабликах фосрят флуоксетин,0
705114161198571520,@zdravglav лекарства нет! Когда можно будет получить Багомет для диабетиков?,0
1142420889868341249,Не цифран бы-забухала на неделю. Но зуб важнее,0
688118716119187456,@leonidvolkov Основной объём(90%) по ГК Ципрофлоксацина поставлен в ЛПУ Г. Москвы в 2015 г.производства Индии(ЛП с мин. кол-вом поб. эффект),0
1089843989619052545,Ещё посмотрел склад лекарств и хотел незаметно спиздить флуоксетин,0
901731168785231873,Алаказам алпразолам! Ток он в наркот.списке),0
924646813294120961,помню самое клевое и самое стремное одновременно было на прозаке я тогда похудела до 48 кг и не могла ничего писать вообще никак,1
1144154101149835264,Спустя шесть настойчивых просьб она продала ему ксанакс.,0
1087775156179820546,"@xingushx Чтобы славно отдохнуть  Отправляюсь на притон Полотенце, маска, ласты О! Сеалекс! А что?! А вдруг?!",0
730645808270475264,сеалекс - а что? А вдруг?,0
1093791507381977088,"теперь ещё и пароксетин выписали всё это замечательно, но я уже путаюсь в таблетках и времени их приёма",0
1091290476366495744,"Вот и отлично, а то слышал историю про бабку, которая сама себе метопролол назначала. Подруга пьёт и мне надо! Лучше уж картоха. Уверен, что картоха по психотерапевтическому эффекту некоторым лекарствам фору даст.",0
